id,item,itemLabel,parti,partiLabel,gender,genderLabel,birthDate
,http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q672926,National Front,http://www.wikidata.org/entity/Q6581097,male,1901-12-22T00:00:00Z
,http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q684909,Eidgenössische Sammlung,http://www.wikidata.org/entity/Q6581097,male,1901-12-22T00:00:00Z
,http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q13142801,Q13142801,http://www.wikidata.org/entity/Q6581097,male,1901-12-22T00:00:00Z
,http://www.wikidata.org/entity/Q121118,Gabriel Despland,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-12-04T00:00:00Z
,http://www.wikidata.org/entity/Q122856,Joseph Ackermann,http://www.wikidata.org/entity/Q667725,Christian Social Party,http://www.wikidata.org/entity/Q6581097,male,1901-02-16T00:00:00Z
,http://www.wikidata.org/entity/Q125303,Dewet Buri,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents",http://www.wikidata.org/entity/Q6581097,male,1901-02-09T00:00:00Z
,http://www.wikidata.org/entity/Q1579473,Hans Fischer,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party,http://www.wikidata.org/entity/Q6581097,male,1901-02-05T00:00:00Z
,http://www.wikidata.org/entity/Q1758783,Paul Schib,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party,http://www.wikidata.org/entity/Q6581097,male,1901-03-15T00:00:00Z
,http://www.wikidata.org/entity/Q2501257,Urs Dietschi,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-11-18T00:00:00Z
,http://www.wikidata.org/entity/Q62007471,Riccardo Rossi,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party,http://www.wikidata.org/entity/Q6581097,male,1901-10-14T00:00:00Z
,http://www.wikidata.org/entity/Q1283267,Ernst Rodel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-06-21T00:00:00Z
,http://www.wikidata.org/entity/Q1290496,Eduard Zellweger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-12-29T00:00:00Z
,http://www.wikidata.org/entity/Q1292447,Fritz Grütter,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-09-02T00:00:00Z
,http://www.wikidata.org/entity/Q1447990,Franz Landolt,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-12-25T00:00:00Z
,http://www.wikidata.org/entity/Q76341200,Jules Grandjean,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-07-11T00:00:00Z
,http://www.wikidata.org/entity/Q15621580,Jacques Chamorel,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1901-05-26T00:00:00Z
,http://www.wikidata.org/entity/Q115622,Willy Spühler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-01-31T00:00:00Z
,http://www.wikidata.org/entity/Q116107,Jean Bourgknecht,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party,http://www.wikidata.org/entity/Q6581097,male,1902-09-16T00:00:00Z
,http://www.wikidata.org/entity/Q119847,Jean Peitrequin,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-10-05T00:00:00Z
,http://www.wikidata.org/entity/Q23636365,René Villard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-08-01T00:00:00Z
,http://www.wikidata.org/entity/Q23636365,René Villard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-08-21T00:00:00Z
,http://www.wikidata.org/entity/Q1586125,Mario Agustoni,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-01-03T00:00:00Z
,http://www.wikidata.org/entity/Q125688,Alfred Borel,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-09-12T00:00:00Z
,http://www.wikidata.org/entity/Q62056059,Adolphe Graedel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-09-26T00:00:00Z
,http://www.wikidata.org/entity/Q70018386,Hans Rüegg,http://www.wikidata.org/entity/Q681843,Democratic Party,http://www.wikidata.org/entity/Q6581097,male,1902-06-26T00:00:00Z
,http://www.wikidata.org/entity/Q99305266,Robert Bühler,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1902-11-23T00:00:00Z
,http://www.wikidata.org/entity/Q15438259,Arnold Gfeller,http://www.wikidata.org/entity/Q550295,Ring of Independents,http://www.wikidata.org/entity/Q6581097,male,1902-09-26T00:00:00Z
,http://www.wikidata.org/entity/Q2476343,Ulrich Meyer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1903-05-20T00:00:00Z
,http://www.wikidata.org/entity/Q1079133,Christian Bühler,http://www.wikidata.org/entity/Q681843,Democratic Party,http://www.wikidata.org/entity/Q6581097,male,1903-03-24T00:00:00Z
,http://www.wikidata.org/entity/Q121142,Alois Grendelmeier,http://www.wikidata.org/entity/Q550295,Ring of Independents,http://www.wikidata.org/entity/Q6581097,male,1903-09-19T00:00:00Z
,http://www.wikidata.org/entity/Q1492591,Gallus Berger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1903-04-10T00:00:00Z
,http://www.wikidata.org/entity/Q118284,Paul Chaudet,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1904-11-17T00:00:00Z
,http://www.wikidata.org/entity/Q125132,Peter Dürrenmatt,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1904-08-29T00:00:00Z
,http://www.wikidata.org/entity/Q2543940,Walter Degen,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents",http://www.wikidata.org/entity/Q6581097,male,1904-10-24T00:00:00Z
,http://www.wikidata.org/entity/Q1449052,Werner Stocker,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1904-03-15T00:00:00Z
,http://www.wikidata.org/entity/Q1535528,Hans Stiffler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1904-08-12T00:00:00Z
,http://www.wikidata.org/entity/Q1610672,Hermann Berger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1905-11-09T00:00:00Z
,http://www.wikidata.org/entity/Q1908456,Mathias Eggenberger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1905-03-17T00:00:00Z
,http://www.wikidata.org/entity/Q2541732,Waldo Riva,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party,http://www.wikidata.org/entity/Q6581097,male,1905-03-10T00:00:00Z
,http://www.wikidata.org/entity/Q1477471,Alix Jaccard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1905-01-28T00:00:00Z
,http://www.wikidata.org/entity/Q2874984,Aymon de Senarclens,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland,http://www.wikidata.org/entity/Q6581097,male,1905-05-02T00:00:00Z
,http://www.wikidata.org/entity/Q3426392,René Jacquod,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party,http://www.wikidata.org/entity/Q6581097,male,1905-02-05T00:00:00Z
